date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:14	41626/41626	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0498-a29a%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrabout.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrabout.jpg	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:09:18	243180/243180	---M--	200	added ('OK')	application/octet-stream	etag:%224ee63310-3b5ec%22	https://apecmandalakimboi.apecgroup.net/assets/font/Montserrat-Medium.ttf	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/font/Montserrat-Medium.ttf	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:09:19	105065/105065	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0498-19a69%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrtongquan.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrtongquan.png	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:09:20	56827/56827	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0498-ddfb%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrmay.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrmay.png	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:09:21	243816/243816	---M--	200	added ('OK')	application/octet-stream	etag:%224ee63310-3b868%22	https://apecmandalakimboi.apecgroup.net/assets/font/Montserrat-SemiBold_0.ttf	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/font/Montserrat-SemiBold_0.ttf	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:09:21	25673/25673	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0498-6449%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrheader.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrheader.png	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:09:26	54278/54278	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0498-d406%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrmayslide.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrmayslide.png	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:09:29	8325/8325	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22609b0498-2085%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrRes.jpg	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrRes.jpg	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:09:35	106930/106930	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0498-1a1b2%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrbutton.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrbutton.png	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:09:40	342668/342668	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0498-53a8c%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrvitri.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrvitri.png	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
10:09:42	564873/564873	---MCZ	200	added ('OK')	image/png	etag:W/%22609b0498-89e89%22	https://apecmandalakimboi.apecgroup.net/assets/images/bgrsldiebt.png	C:/My%20Web%20Sites/ladipage/apecmandalakimboi.apecgroup.net/assets/images/bgrsldiebt.png	(from https://apecmandalakimboi.apecgroup.net/assets/css/style.css)
